class,top_class,support,precision,recall,f1,top_acc,errors,top_confusions
sp-c,sp,177,0.4585987261146497,0.4067796610169492,0.4311377245508982,0.4971751412429379,105,"ss-u(39), ss-i(24), fx-h(23)"
ss-i,ss,207,0.510752688172043,0.45893719806763283,0.4834605597964376,0.7294685990338164,112,"ss-u(56), sp-c(17), fx-o(11)"
fx-ex,fx,297,0.5789473684210527,0.48148148148148145,0.5257352941176471,0.696969696969697,154,"fx-h(38), m-si(25), sp-p(18)"
fx-a,fx,166,0.6535947712418301,0.6024096385542169,0.6269592476489029,0.6566265060240963,66,"ss-n(49), ss-u(8), fx-h(4)"
m-m,m,323,0.6504854368932039,0.6222910216718266,0.6360759493670886,0.9380804953560371,122,"m-si(54), m-sp(48), ss-u(8)"
fx-v,fx,201,0.645933014354067,0.6716417910447762,0.6585365853658537,0.7761194029850746,66,"ss-u(43), fx-n(7), fx-o(7)"
ss-u,ss,719,0.6756756756756757,0.6606397774687065,0.6680731364275667,0.7872044506258693,244,"ss-i(50), ss-n(40), fx-v(32)"
ss-n,ss,391,0.6775,0.6930946291560103,0.6852085967130215,0.7442455242966752,120,"fx-n(59), fx-a(36), ss-u(19)"
fx-el,fx,208,0.7472527472527473,0.6538461538461539,0.6974358974358975,0.8221153846153846,72,"fx-ex(13), fx-o(12), m-si(11)"
is-e,is,297,0.71,0.7171717171717171,0.7135678391959798,0.8686868686868687,84,"is-p(20), is-k(16), fx-el(12)"
fx-m,fx,279,0.705685618729097,0.7562724014336918,0.7301038062283737,0.982078853046595,68,"fx-o(33), fx-v(18), fx-ex(4)"
sp-p,sp,364,0.7246753246753247,0.7664835164835165,0.7449933244325768,0.8653846153846154,85,"sp-s(32), fx-ex(16), ss-u(13)"
m-si,m,721,0.7400497512437811,0.8252427184466019,0.7803278688524591,0.9153952843273232,126,"m-m(38), m-sp(27), fx-ex(16)"
ss-s,ss,217,0.8622448979591837,0.7788018433179723,0.8184019370460048,0.7972350230414746,48,"m-si(14), is-e(12), fx-ex(9)"
fx-n,fx,652,0.8014084507042254,0.8726993865030674,0.8355359765051394,0.9248466257668712,83,"ss-n(39), fx-o(24), ss-u(9)"
m-sp,m,683,0.8283261802575107,0.8477306002928258,0.8379160636758322,0.9604685212298683,104,"m-m(44), m-si(33), is-p(7)"
fx-o,fx,1211,0.8690969345484673,0.8662262592898431,0.867659222497932,0.9735755573905863,162,"fx-m(57), fx-n(39), fx-h(16)"
is-p,is,606,0.9079646017699115,0.8465346534653465,0.8761742100768574,0.9026402640264026,93,"is-e(29), fx-o(24), m-sp(19)"
fx-h,fx,975,0.869,0.8912820512820513,0.88,0.9394871794871795,106,"sp-c(21), fx-ex(21), fx-o(15)"
sp-s,sp,806,0.9081885856079405,0.9081885856079405,0.9081885856079405,0.9689826302729528,74,"sp-p(38), fx-h(14), sp-c(11)"
is-k,is,362,0.9203296703296703,0.925414364640884,0.9228650137741047,0.9613259668508287,27,"m-si(12), is-e(7), is-w(4)"
is-s,is,528,0.9512670565302144,0.9242424242424242,0.9375600384245916,0.9393939393939394,40,"m-si(27), is-e(6), fx-ex(4)"
is-w,is,566,0.9697508896797153,0.9628975265017667,0.9663120567375887,0.9770318021201413,21,"m-si(9), is-s(4), is-k(4)"
