index,split
254384,train
61871,train
34383,train
38457,train
154277,train
182969,train
373718,train
86248,train
136032,train
252424,train
152548,train
419274,train
50179,train
192679,train
258055,train
17697,train
145653,train
86584,train
137826,train
255677,train
20155,train
138473,train
50946,train
391842,train
169181,train
166649,train
148477,train
102495,train
17609,train
109562,train
71054,train
418458,train
315933,train
10499,train
56532,train
15222,train
378698,train
218988,train
135698,train
47667,train
15749,train
196076,train
162224,train
30023,train
72843,train
20457,train
156825,train
169157,train
127282,train
1028,train
67829,train
147163,train
185138,train
484628,train
408742,train
196064,train
26557,train
59963,train
153729,train
357790,train
12927,train
247135,train
51022,train
403646,train
210632,train
341432,train
28627,train
211903,train
150946,train
204118,train
142875,train
91404,train
215562,train
252320,train
153608,train
27641,train
238299,train
191912,train
427941,train
148594,train
244012,train
137898,train
316646,train
251161,train
50114,train
14029,train
241552,train
277083,train
71808,train
21623,train
22967,train
146851,train
432398,train
26657,train
84524,train
104388,train
248915,train
348082,train
389214,train
339650,train
10697,train
93396,train
86396,train
382534,train
170563,train
15265,train
76531,train
222222,train
146432,train
132911,train
43743,train
250550,train
10418,train
169385,train
143803,train
69132,train
61513,train
148551,train
13469,train
374108,train
35944,train
20762,train
114013,train
335764,train
366413,train
141196,train
188754,train
111657,train
131318,train
374116,train
235167,train
4540,train
236561,train
570,train
333509,train
102403,train
373699,train
187210,train
358348,train
235048,train
79480,train
127032,train
152594,train
123293,train
189402,train
48313,train
102244,train
27367,train
109897,train
158594,train
92890,train
144329,train
99243,train
200551,train
136048,train
21052,train
11776,train
354736,train
40908,train
82283,train
247575,train
69477,train
343098,train
208314,train
354592,train
137683,train
83986,train
247899,train
3815,train
30026,train
54388,train
27872,train
341404,train
360063,train
76285,train
32396,train
17690,train
46237,train
131265,train
38297,train
234090,train
236555,train
185142,train
45991,train
354510,train
38293,train
119344,train
167753,train
184689,train
148405,train
237202,train
148557,train
379033,train
5682,train
269007,train
339645,train
117215,train
235042,train
127364,train
39081,train
29251,train
364694,train
99636,train
92151,train
59609,train
62329,train
164085,train
223420,train
146670,train
338258,train
39934,train
151723,train
81992,train
145043,train
71631,train
42351,train
374099,train
192057,train
90358,train
177804,train
354220,train
431355,train
113290,train
340711,train
127629,train
115221,train
36395,train
146624,train
367836,train
372336,train
148536,train
137903,train
54435,train
33686,train
10594,train
230124,train
233803,train
413550,train
111078,train
193809,train
48716,train
245639,train
247258,train
50173,train
82671,train
76987,train
64743,train
171115,train
178067,train
415371,train
101840,train
160574,train
239664,train
137463,train
76607,train
10549,train
156603,train
2438,train
31490,train
62156,train
195522,train
199173,train
397673,train
102934,train
41516,train
237936,train
16799,train
86346,train
167619,train
20530,train
153532,train
28765,train
354483,train
117234,train
40389,train
236571,train
39651,train
241528,train
141376,train
379468,train
86880,train
109910,train
410862,train
13853,train
401817,train
247374,train
325379,train
10503,train
74697,train
14047,train
102360,train
44910,train
54113,train
495551,train
356790,train
37182,train
239581,train
233068,train
348392,train
359700,train
92391,train
373364,train
105578,train
236386,train
103352,train
79206,train
345263,train
28557,train
33439,train
42348,train
47029,train
222458,train
1135,train
145815,train
315852,train
92402,train
432206,train
50205,train
102466,train
54771,train
372052,train
95797,train
143947,train
18929,train
113512,train
126167,train
111250,train
16201,train
48078,train
98645,train
261488,train
109558,train
386607,train
6546,train
153994,train
28942,train
13296,train
395410,train
249010,train
20539,train
185999,train
72255,train
55107,train
119279,train
334541,train
8107,train
350451,train
273542,train
267984,train
122956,train
212397,train
337964,train
213852,train
40619,train
382885,train
89963,train
167105,train
352186,train
58654,train
107353,train
58589,train
