index,split
96536,train
14998,train
114425,train
193064,train
356802,train
127158,train
416430,train
321290,train
29018,train
95388,train
194364,train
373731,train
324783,train
477099,train
146257,train
32157,train
211684,train
464325,train
319705,train
142762,train
183661,train
21892,train
413620,train
152977,train
134846,train
90412,train
148476,train
219257,train
177859,train
412528,train
186416,train
53798,train
237675,train
210666,train
32587,train
38110,train
208921,train
258039,train
326782,train
211159,train
28942,train
60785,train
97069,train
427718,train
171973,train
433545,train
61728,train
406664,train
109511,train
360694,train
69422,train
275012,train
76982,train
412909,train
60777,train
262974,train
138768,train
125561,train
373783,train
359563,train
183735,train
372993,train
51027,train
378262,train
174135,train
136540,train
13277,train
90190,train
378367,train
395863,train
382885,train
81366,train
374706,train
73581,train
239671,train
5791,train
168769,train
255856,train
59122,train
148527,train
42347,train
137934,train
156723,train
247806,train
275522,train
192353,train
239586,train
148548,train
85549,train
168671,train
40060,train
100843,train
6023,train
142822,train
106845,train
99002,train
10894,train
151591,train
88903,train
375552,train
373179,train
156715,train
87683,train
277125,train
152345,train
78623,train
101731,train
10482,train
249893,train
57910,train
44354,train
89337,train
386117,train
62854,train
137573,train
63834,train
117234,train
373719,train
373661,train
372684,train
18645,train
147586,train
61914,train
409150,train
9386,train
23498,train
212050,train
58589,train
3354,train
249118,train
86425,train
50718,train
254391,train
386380,train
172451,train
413684,train
112564,train
58948,train
183809,train
86414,train
23484,train
395410,train
112647,train
184673,train
156713,train
153734,train
60638,train
268968,train
168688,train
41979,train
26275,train
147163,train
325017,train
45065,train
91041,train
64252,train
399506,train
356479,train
98439,train
147095,train
41750,train
166934,train
213698,train
388286,train
358405,train
21385,train
121361,train
8528,train
83190,train
98385,train
125177,train
271947,train
185733,train
354999,train
171737,train
441156,train
239664,train
62501,train
167264,train
160570,train
339901,train
859,train
65498,train
161923,train
354510,train
180089,train
374887,train
237684,train
367824,train
15149,train
41053,train
148525,train
16838,train
29503,train
333441,train
371786,train
189848,train
115611,train
78499,train
222393,train
29437,train
43779,train
193866,train
91907,train
143902,train
119907,train
161924,train
335281,train
64551,train
163059,train
7059,train
15355,train
45001,train
163115,train
148502,train
31419,train
360063,train
56977,train
199492,train
183645,train
268268,train
64676,train
31346,train
418458,train
151285,train
128673,train
140821,train
50946,train
196092,train
97228,train
65725,train
120667,train
334088,train
156701,train
150546,train
142860,train
233803,train
86729,train
105362,train
62479,train
429075,train
332318,train
158772,train
