index,split
236464,train
83782,train
67644,train
75056,train
359700,train
374504,train
65716,train
188226,train
38271,train
172245,train
85874,train
374737,train
205732,train
359121,train
366771,train
125372,train
413382,train
255319,train
325215,train
142663,train
152606,train
157474,train
25687,train
208741,train
45993,train
368376,train
28621,train
40909,train
113328,train
250383,train
102849,train
409093,train
343935,train
142860,train
162224,train
128705,train
187284,train
63521,train
148355,train
204126,train
29119,train
264377,train
150268,train
336401,train
41580,train
222390,train
260933,train
189337,train
127725,train
388286,train
149326,train
144325,train
76982,train
118334,train
174776,train
58650,train
151445,train
340038,train
383551,train
355115,train
183735,train
372708,train
71754,train
212787,train
26559,train
261597,train
148551,train
339369,train
109544,train
360786,train
196378,train
91404,train
26602,train
413209,train
247575,train
64238,train
123889,train
50267,train
324747,train
245068,train
98019,train
27555,train
236528,train
153876,train
50912,train
337236,train
23497,train
148435,train
120359,train
168671,train
49898,train
79089,train
199873,train
113270,train
329331,train
18966,train
355211,train
413462,train
1028,train
91575,train
156365,train
107725,train
106428,train
382348,train
43890,train
116706,train
236660,train
81246,train
95323,train
231462,train
45590,train
222597,train
389238,train
19345,train
10542,train
339989,train
117234,train
65662,train
374978,train
10867,train
397375,train
147586,train
66494,train
273341,train
233715,train
23498,train
257496,train
142688,train
92135,train
154100,train
50171,train
34896,train
3817,train
68666,train
41134,train
328868,train
373722,train
63507,train
355910,train
61738,train
5793,train
395410,train
57395,train
102378,train
87772,train
136966,train
211676,train
418905,train
97827,train
77668,train
164375,train
274980,train
210652,train
414616,train
142848,train
113265,train
11952,train
356891,train
5185,train
22518,train
153726,train
60408,train
187147,train
88928,train
372686,train
3112,train
187002,train
247553,train
217736,train
50917,train
153503,train
80672,train
186475,train
372631,train
416732,train
447425,train
134008,train
345133,train
236679,train
114443,train
112662,train
86449,train
181919,train
410145,train
10933,train
200551,train
373361,train
237684,train
371619,train
15150,train
424111,train
28614,train
340547,train
28856,train
125071,train
325657,train
135537,train
156823,train
115417,train
3418,train
50569,train
62516,train
50306,train
50511,train
120670,train
263076,train
33196,train
89385,train
388688,train
41695,train
126849,train
386303,train
81992,train
62256,train
3010,train
137910,train
359334,train
10925,train
132230,train
235418,train
153725,train
203093,train
168303,train
65604,train
27927,train
216811,train
349286,train
85804,train
324894,train
154041,train
382339,train
115557,train
270769,train
236641,train
71608,train
137444,train
74380,train
418458,train
62276,train
196117,train
402801,train
259170,train
352740,train
213375,train
366049,train
89675,train
200900,train
191920,train
52179,train
154021,train
150409,train
158746,train
163018,train
146554,train
126535,train
160276,train
81574,train
191731,train
114356,train
59970,train
233068,train
254621,train
196064,train
85682,train
328643,train
408708,train
92822,train
33542,train
86465,train
59448,train
382998,train
142703,train
357745,train
160533,train
11872,train
95799,train
111033,train
30041,train
56938,train
68718,train
107717,train
92944,train
250378,train
269906,train
427375,train
384069,train
231490,train
276308,train
79598,train
321643,train
183665,train
5108,train
190468,train
270130,train
13457,train
58160,train
109625,train
398038,train
20539,train
373638,train
171707,train
375541,train
105578,train
91073,train
142305,train
320456,train
168769,train
148748,train
78592,train
115562,train
183040,train
28385,train
439996,train
57197,train
238581,train
132817,train
272421,train
102437,train
242963,train
177229,train
371972,train
4227,train
148553,train
171464,train
1194,train
115558,train
415395,train
410868,train
56154,train
99228,train
91605,train
165356,train
430046,train
132738,train
58051,train
29438,train
382537,train
166345,train
374872,train
400597,train
42904,train
236508,train
104815,train
354393,train
187809,train
353317,train
141992,train
11257,train
27232,train
93453,train
382950,train
354258,train
371151,train
365207,train
265677,train
162733,train
52191,train
275571,train
37315,train
30353,train
92260,train
220601,train
347314,train
146464,train
8060,train
108358,train
19013,train
321741,train
237791,train
347246,train
118898,train
247117,train
21119,train
18581,train
165166,train
116921,train
173746,train
374099,train
315940,train
11689,train
120133,train
378687,train
53604,train
89124,train
78483,train
236636,train
266496,train
369707,train
391290,train
346869,train
105878,train
5100,train
266481,train
70032,train
59458,train
352331,train
382411,train
29893,train
327677,train
19159,train
65802,train
173618,train
153846,train
268795,train
2705,train
264152,train
70028,train
148540,train
2520,train
70827,train
373711,train
79051,train
110694,train
93879,train
144224,train
158772,train
21245,train
373938,train
22865,train
87636,train
50068,train
60778,train
32863,train
260246,train
353187,train
54256,train
265311,train
137661,train
176282,train
9659,train
366757,train
32446,train
114368,train
156722,train
376926,train
387162,train
374393,train
11542,train
8008,train
164925,train
28396,train
52053,train
131991,train
105964,train
418011,train
127298,train
20695,train
105436,train
4281,train
17860,train
266484,train
315856,train
124687,train
28565,train
145718,train
323459,train
212108,train
150985,train
155217,train
97371,train
143299,train
119201,train
147599,train
350679,train
79236,train
122189,train
373676,train
137081,train
161359,train
145274,train
139824,train
327129,train
89959,train
104766,train
58874,train
106754,train
10553,train
125579,train
24103,train
173808,train
5881,train
166252,train
106883,train
373783,train
105767,train
50172,train
93645,train
3751,train
79045,train
38297,train
3808,train
232622,train
142677,train
106991,train
195544,train
92846,train
136540,train
371815,train
209772,train
353039,train
11022,train
238873,train
60782,train
34067,train
302530,train
359449,train
38590,train
111086,train
152802,train
32589,train
323702,train
8685,train
76442,train
474382,train
483494,train
4854,train
127276,train
161340,train
67647,train
33909,train
71114,train
80818,train
331379,train
122299,train
202420,train
247075,train
15222,train
164875,train
369932,train
137708,train
391293,train
209,train
204640,train
36321,train
402143,train
196004,train
32284,train
4279,train
148488,train
145656,train
31942,train
33306,train
28209,train
102952,train
345261,train
96096,train
245074,train
375068,train
333421,train
39863,train
151384,train
84718,train
237730,train
270695,train
351324,train
251130,train
325027,train
162950,train
76293,train
35836,train
187129,train
14056,train
50180,train
82267,train
192790,train
381359,train
425403,train
173637,train
61516,train
382906,train
101309,train
61058,train
235101,train
94750,train
55969,train
360229,train
157819,train
31529,train
92156,train
366676,train
351970,train
29018,train
372045,train
408763,train
122672,train
153649,train
29407,train
250853,train
12974,train
166182,train
155573,train
231628,train
270133,train
418784,train
175489,train
108660,train
136048,train
10525,train
247069,train
200631,train
240096,train
257812,train
267089,train
105083,train
247899,train
25824,train
38186,train
55017,train
25355,train
61719,train
128833,train
34277,train
96347,train
42841,train
399740,train
94405,train
164878,train
8434,train
269783,train
64876,train
237675,train
34383,train
477305,train
219260,train
10090,train
201025,train
71049,train
388056,train
253250,train
40073,train
114136,train
126759,train
66147,train
114419,train
3091,train
477304,train
75625,train
333268,train
98231,train
149807,train
184217,train
163007,train
3838,train
386120,train
65993,train
209661,train
207481,train
145531,train
218831,train
126334,train
246762,train
