index,split
357210,train
157328,train
178219,train
340298,train
86764,train
382591,train
418905,train
189973,train
20840,train
2713,train
85682,train
175143,train
28821,train
357872,train
21412,train
412162,train
321200,train
264103,train
163688,train
127563,train
165492,train
14474,train
372776,train
36852,train
74952,train
119113,train
63618,train
148243,train
247899,train
172588,train
262977,train
57425,train
50318,train
236557,train
168443,train
26219,train
8729,train
150403,train
374877,train
239717,train
68722,train
78854,train
28410,train
84420,train
60753,train
169678,train
185150,train
75452,train
30203,train
401987,train
477293,train
62479,train
102103,train
213375,train
22779,train
101331,train
164168,train
28616,train
178565,train
126535,train
20022,train
53502,train
395413,train
146517,train
136275,train
86901,train
31259,train
61831,train
348872,train
50373,train
143956,train
350993,train
358320,train
61740,train
149216,train
205734,train
23561,train
10499,train
8528,train
265677,train
340557,train
196382,train
12986,train
242647,train
58026,train
359507,train
123813,train
121132,train
63805,train
148517,train
372702,train
265056,train
69698,train
150035,train
102100,train
46748,train
84564,train
353207,train
152853,train
111011,train
191535,train
2970,train
143947,train
223420,train
121457,train
31419,train
197866,train
8697,train
262980,train
200843,train
102045,train
358392,train
2974,train
97295,train
480715,train
266431,train
182569,train
366957,train
4052,train
35131,train
134846,train
345423,train
173875,train
173690,train
3345,train
420312,train
11586,train
50250,train
69877,train
59043,train
194925,train
10131,train
269483,train
358952,train
64778,train
57060,train
43436,train
31648,train
401605,train
338088,train
465759,train
10497,train
79031,train
84387,train
358195,train
217740,train
20753,train
3901,train
87634,train
175415,train
414225,train
19525,train
87775,train
2530,train
105878,train
247182,train
173795,train
355216,train
148550,train
248945,train
248707,train
65662,train
59773,train
1922,train
12957,train
117223,train
50449,train
165596,train
86729,train
13464,train
196004,train
85901,train
143588,train
68382,train
386033,train
191912,train
374538,train
167448,train
197122,train
44655,train
53797,train
11899,train
216811,train
415004,train
349263,train
247806,train
31782,train
24601,train
153830,train
102533,train
50812,train
156712,train
347038,train
28831,train
86895,train
396464,train
42347,train
59449,train
67655,train
136048,train
202002,train
3418,train
80782,train
110602,train
199255,train
142246,train
165491,train
128829,train
22706,train
168699,train
367099,train
65441,train
349956,train
61752,train
319347,train
33189,train
355197,train
474938,train
87406,train
3177,train
112175,train
150985,train
63586,train
381275,train
50124,train
17732,train
101553,train
181522,train
406067,train
341534,train
90442,train
13853,train
271416,train
59970,train
172314,train
444,train
114125,train
31585,train
8730,train
78796,train
382524,train
60163,train
382435,train
5754,train
121369,train
114124,train
50266,train
113387,train
1370,train
15230,train
93925,train
17862,train
135703,train
185055,train
20786,train
142652,train
357175,train
41321,train
326986,train
17437,train
40248,train
32405,train
122498,train
371302,train
128104,train
114102,train
394185,train
99586,train
54387,train
188038,train
22691,train
355172,train
120590,train
10785,train
156641,train
105755,train
358690,train
10702,train
367078,train
86414,train
116750,train
25069,train
60781,train
50709,train
203473,train
268011,train
328046,train
253237,train
79936,train
24820,train
