index,split
247117,train
554,train
212143,train
199492,train
60081,train
72678,train
249715,train
14854,train
89921,train
199173,train
127119,train
78794,train
50165,train
133270,train
121221,train
56909,train
264144,train
102045,train
343165,train
371913,train
66134,train
211540,train
415445,train
75855,train
107960,train
361278,train
18229,train
136957,train
357992,train
4998,train
60782,train
146623,train
82361,train
104714,train
114330,train
63246,train
315691,train
150406,train
372687,train
246840,train
77,train
15607,train
124276,train
21866,train
214194,train
361222,train
20530,train
114126,train
82540,train
180089,train
474943,train
136275,train
241497,train
33895,train
65335,train
45987,train
189848,train
28582,train
32245,train
102308,train
161642,train
205079,train
45910,train
75021,train
239496,train
238299,train
420264,train
148607,train
36780,train
31754,train
57496,train
37164,train
153726,train
67341,train
239391,train
343169,train
368376,train
382888,train
11949,train
86352,train
254952,train
166238,train
479410,train
236641,train
44365,train
373614,train
27872,train
249546,train
58511,train
68438,train
154304,train
366102,train
124429,train
41741,train
315932,train
114203,train
70320,train
321972,train
51680,train
176282,train
84231,train
111796,train
416430,train
389238,train
10758,train
115557,train
62327,train
378558,train
221567,train
99555,train
138202,train
247258,train
111775,train
13050,train
263531,train
144338,train
142880,train
348082,train
80641,train
96607,train
60830,train
156795,train
25463,train
239746,train
3842,train
194925,train
31817,train
239256,train
15919,train
398032,train
59043,train
118707,train
379013,train
156501,train
76302,train
80782,train
119726,train
324381,train
86675,train
60589,train
214548,train
136047,train
337225,train
35037,train
247992,train
86470,train
259590,train
96780,train
33565,train
523,train
410427,train
42318,train
254389,train
195522,train
3452,train
247234,train
272038,train
354860,train
148550,train
354453,train
359367,train
28561,train
2607,train
340361,train
388474,train
82785,train
98150,train
86427,train
163603,train
359724,train
121008,train
213032,train
39066,train
72891,train
45477,train
270469,train
11788,train
114359,train
98192,train
63275,train
86960,train
354199,train
136745,train
157248,train
89862,train
247913,train
45526,train
65727,train
11980,train
160373,train
147133,train
174368,train
132230,train
29321,train
69590,train
216915,train
45907,train
59449,train
61736,train
375548,train
112741,train
24126,train
54387,train
53581,train
16026,train
13868,train
182571,train
247899,train
386297,train
54194,train
82386,train
53694,train
5105,train
122204,train
434108,train
97624,train
1821,train
37845,train
66785,train
260246,train
74952,train
369070,train
68653,train
69338,train
103562,train
167543,train
11550,train
153719,train
380391,train
144076,train
396157,train
270133,train
146090,train
341736,train
111250,train
10592,train
91746,train
196063,train
261038,train
195597,train
173775,train
337102,train
148486,train
418622,train
164689,train
123125,train
332314,train
63585,train
193817,train
51900,train
353104,train
53691,train
97635,train
70270,train
104111,train
131350,train
247080,train
41321,train
137081,train
48936,train
45950,train
