index,split
812913,train
815127,train
813666,train
827303,train
829245,train
811468,train
805287,train
827298,train
801653,train
808457,train
802801,train
839429,train
816708,train
820211,train
838124,train
818729,train
815018,train
799405,train
825411,train
813928,train
819810,train
834639,train
826752,train
801157,train
842684,train
803539,train
816971,train
832840,train
807602,train
800861,train
815389,train
838055,train
836359,train
822352,train
808132,train
841777,train
818723,train
814375,train
825385,train
803714,train
803688,train
820229,train
822899,train
831255,train
812536,train
831426,train
822319,train
810980,train
817068,train
802542,train
818812,train
822507,train
798307,train
806948,train
841573,train
802612,train
811705,train
801525,train
822745,train
805184,train
806879,train
825681,train
839248,train
810455,train
805253,train
841414,train
809511,train
816211,train
828814,train
842008,train
803544,train
840944,train
819716,train
812554,train
816726,train
838008,train
806161,train
798463,train
808193,train
815106,train
831340,train
798726,train
815498,train
825841,train
811372,train
836363,train
807429,train
804717,train
831073,train
838504,train
834760,train
828778,train
809339,train
818456,train
829114,train
834932,train
840450,train
832845,train
827425,train
829800,train
837616,train
812441,train
801229,train
827746,train
838467,train
839410,train
824057,train
822894,train
825576,train
836325,train
813461,train
828846,train
811250,train
813192,train
804909,train
839098,train
805262,train
813696,train
800099,train
819213,train
814412,train
843080,train
810278,train
806396,train
827736,train
838846,train
816577,train
822641,train
822766,train
814615,train
825776,train
802314,train
828709,train
804866,train
836472,train
801075,train
814261,train
800439,train
831333,train
807297,train
823746,train
803431,train
801477,train
799393,train
836185,train
809133,train
836349,train
831455,train
824506,train
829079,train
810718,train
805364,train
799573,train
799052,train
831223,train
843098,train
842754,train
818291,train
842413,train
813288,train
798898,train
836208,train
836412,train
837346,train
819042,train
819744,train
839861,train
815010,train
832219,train
818133,train
822482,train
839963,train
824649,train
810471,train
816166,train
799666,train
842400,train
839312,train
810763,train
813093,train
834804,train
806980,train
828027,train
811596,train
830715,train
808083,train
802408,train
827630,train
835583,train
843236,train
810138,train
813304,train
843099,train
825930,train
836938,train
810908,train
823754,train
839966,train
806317,train
809565,train
823439,train
819214,train
811249,train
840576,train
828459,train
839707,train
815487,train
832958,train
803835,train
836221,train
816882,train
814744,train
813414,train
843311,train
801598,train
829917,train
837478,train
801265,train
824046,train
812405,train
803357,train
813087,train
814635,train
823008,train
823771,train
840688,train
827954,train
799916,train
831338,train
810795,train
812873,train
843185,train
829379,train
806559,train
838803,train
842551,train
801532,train
817817,train
826789,train
801670,train
810572,train
812033,train
841761,train
817455,train
841864,train
809276,train
813162,train
806984,train
825937,train
828726,train
834705,train
799547,train
811093,train
807795,train
827103,train
801605,train
803097,train
799289,train
817280,train
831047,train
819747,train
820200,train
824533,train
824390,train
830016,train
829681,train
807903,train
807617,train
812844,train
839006,train
820241,train
816503,train
823036,train
814054,train
833643,train
799444,train
839425,train
815178,train
808187,train
801493,train
817247,train
801513,train
817656,train
811180,train
802426,train
837991,train
831587,train
811998,train
801614,train
819495,train
809579,train
810190,train
800743,train
805406,train
842735,train
815410,train
817632,train
813795,train
799466,train
835693,train
798540,train
825413,train
798499,train
803172,train
834770,train
829460,train
837172,train
811088,train
808238,train
830359,train
839942,train
810897,train
801218,train
828080,train
836967,train
841481,train
808535,train
831529,train
815630,train
832425,train
830447,train
832828,train
834280,train
814051,train
818192,train
841936,train
824043,train
805869,train
814406,train
822836,train
826583,train
834118,train
820054,train
808103,train
804487,train
826502,train
834531,train
811746,train
