index,split
148594,train
139301,train
354741,train
147018,train
128996,train
42826,train
107223,train
146235,train
220582,train
11851,train
350334,train
72011,train
105291,train
171513,train
137903,train
359799,train
102422,train
354199,train
417116,train
17603,train
222356,train
242981,train
33654,train
189743,train
199880,train
193334,train
86352,train
73514,train
26189,train
148401,train
183645,train
15961,train
61746,train
107845,train
161948,train
169802,train
382871,train
38592,train
3909,train
247510,train
371090,train
30550,train
91081,train
4828,train
57382,train
87051,train
382483,train
22717,train
10861,train
71631,train
164617,train
188226,train
341509,train
45919,train
416545,train
383574,train
239751,train
39980,train
188488,train
157914,train
97756,train
76449,train
156801,train
85620,train
46066,train
420315,train
270706,train
92405,train
324746,train
100253,train
41503,train
110123,train
369285,train
45987,train
153944,train
357210,train
343952,train
32396,train
332000,train
10867,train
117215,train
95388,train
86427,train
145749,train
197450,train
141186,train
377844,train
61249,train
88408,train
147816,train
345263,train
182935,train
42725,train
137232,train
65724,train
113129,train
25907,train
29713,train
56552,train
99435,train
47296,train
386610,train
97371,train
343994,train
358637,train
356477,train
104392,train
23537,train
54486,train
62257,train
359446,train
170585,train
137562,train
83131,train
63352,train
189508,train
60837,train
56025,train
107739,train
366173,train
200809,train
33927,train
31581,train
109404,train
25642,train
127590,train
267984,train
417452,train
277124,train
106352,train
146771,train
52179,train
97832,train
353550,train
86593,train
358260,train
196033,train
50307,train
412528,train
20630,train
93920,train
101419,train
410868,train
73282,train
24126,train
52290,train
69095,train
200026,train
98739,train
164174,train
95389,train
20192,train
23558,train
122498,train
33447,train
379969,train
86445,train
176589,train
414616,train
239058,train
104714,train
30282,train
27856,train
139096,train
402614,train
150534,train
151723,train
151009,train
41862,train
101602,train
148533,train
79775,train
165596,train
491273,train
232626,train
10525,train
273309,train
399577,train
124720,train
214404,train
108889,train
31909,train
28932,train
120670,train
162565,train
23059,train
357832,train
109530,train
150363,train
47589,train
33165,train
165048,train
39531,train
70270,train
61785,train
80119,train
135639,train
271947,train
56977,train
86738,train
467334,train
86895,train
48322,train
25069,train
56549,train
270689,train
334540,train
99510,train
234118,train
251305,train
3928,train
92949,train
242017,train
122823,train
277608,train
62360,train
341609,train
354736,train
236345,train
243801,train
153719,train
173618,train
32495,train
128816,train
102863,train
67337,train
156183,train
84746,train
140525,train
16389,train
156723,train
345264,train
86431,train
127113,train
148563,train
152707,train
131318,train
154315,train
354270,train
147692,train
270718,train
96840,train
109742,train
83116,train
275069,train
104707,train
386609,train
173740,train
95948,train
426907,train
184470,train
273994,train
190579,train
431533,train
358567,train
28831,train
359788,train
265056,train
50180,train
30324,train
268788,train
111403,train
1922,train
56970,train
172452,train
252556,train
40355,train
28870,train
158435,train
341419,train
25636,train
62459,train
199154,train
170320,train
418587,train
8729,train
119344,train
381467,train
39550,train
354295,train
167448,train
94631,train
157658,train
39169,train
241581,train
106439,train
76293,train
274097,train
118748,train
248944,train
55439,train
337723,train
113322,train
419042,train
42722,train
246103,train
236812,train
165746,train
377589,train
379748,train
150166,train
418784,train
111094,train
166203,train
92162,train
92942,train
371997,train
186944,train
75978,train
169233,train
90426,train
124022,train
215562,train
344020,train
34074,train
77584,train
87526,train
57209,train
167196,train
188629,train
382505,train
11468,train
236347,train
96545,train
113576,train
91020,train
167538,train
20017,train
245676,train
91135,train
13896,train
49315,train
7933,train
171004,train
5840,train
222393,train
343901,train
43983,train
171118,train
145409,train
84031,train
153636,train
169544,train
40908,train
358730,train
374872,train
21440,train
199897,train
27313,train
173933,train
64238,train
423853,train
17353,train
16672,train
153977,train
247907,train
142806,train
136666,train
103355,train
152172,train
199146,train
24769,train
32575,train
43187,train
29471,train
