index,split
41709,train
208905,train
84746,train
359442,train
239877,train
148538,train
133797,train
23667,train
67041,train
373973,train
187135,train
371997,train
185989,train
40016,train
273542,train
252322,train
58928,train
344396,train
58907,train
111011,train
142711,train
208741,train
38388,train
217543,train
316902,train
183597,train
186489,train
176126,train
97069,train
364343,train
69,train
146681,train
360851,train
29142,train
34889,train
19760,train
21,train
98783,train
257813,train
98941,train
262398,train
339613,train
132230,train
65519,train
347658,train
137081,train
155925,train
191918,train
214689,train
43213,train
60777,train
354037,train
92109,train
157735,train
246871,train
247342,train
12771,train
360239,train
80822,train
316895,train
142862,train
118738,train
148517,train
378367,train
79609,train
92260,train
37224,train
91672,train
28440,train
56011,train
261038,train
439993,train
365103,train
64821,train
11637,train
137708,train
6490,train
183065,train
218889,train
109856,train
188886,train
83116,train
343741,train
18557,train
72860,train
320688,train
142821,train
430046,train
399351,train
346492,train
180305,train
390939,train
108660,train
354581,train
137738,train
13361,train
243801,train
61874,train
152997,train
25704,train
270918,train
424402,train
477082,train
86436,train
333420,train
218844,train
373926,train
30041,train
198965,train
39197,train
10834,train
10827,train
34511,train
46729,train
53502,train
62630,train
202304,train
44050,train
375493,train
14083,train
394071,train
78737,train
208695,train
61515,train
433887,train
345261,train
148488,train
38250,train
239791,train
86141,train
50443,train
386592,train
187267,train
90358,train
228752,train
79173,train
32499,train
249723,train
212392,train
336786,train
142698,train
325013,train
10521,train
38610,train
4281,train
247234,train
51479,train
165491,train
195272,train
119094,train
5514,train
356867,train
16263,train
164828,train
358240,train
156713,train
343901,train
92368,train
29713,train
154097,train
59039,train
173746,train
92955,train
345423,train
340038,train
35289,train
386381,train
361551,train
20021,train
355000,train
222304,train
362186,train
98192,train
236558,train
28582,train
167179,train
203473,train
339990,train
29453,train
389987,train
155573,train
105274,train
80821,train
162753,train
345556,train
102190,train
135719,train
26938,train
370732,train
337000,train
67345,train
58858,train
233205,train
45078,train
112175,train
86437,train
29193,train
12777,train
234950,train
101621,train
147114,train
358637,train
395492,train
54387,train
480715,train
128834,train
216763,train
114152,train
95799,train
215682,train
140031,train
396887,train
10481,train
244332,train
30143,train
29841,train
332302,train
250550,train
382836,train
112460,train
419894,train
24365,train
109574,train
363242,train
391290,train
354541,train
268011,train
9562,train
37284,train
343955,train
413462,train
153755,train
42965,train
119459,train
153977,train
33924,train
117498,train
28490,train
402021,train
26270,train
63966,train
239573,train
120669,train
90920,train
99966,train
150161,train
5315,train
106784,train
81260,train
378275,train
346506,train
114165,train
105725,train
354902,train
54539,train
61751,train
65889,train
333360,train
83974,train
235048,train
24242,train
127632,train
68664,train
373364,train
243570,train
116892,train
429057,train
200026,train
189697,train
200960,train
220594,train
1261,train
276072,train
249132,train
29119,train
238638,train
93874,train
270762,train
374105,train
71699,train
116366,train
152614,train
61720,train
252712,train
53474,train
20155,train
373716,train
206122,train
130703,train
148252,train
554,train
480646,train
10722,train
338167,train
132803,train
35138,train
5187,train
269557,train
269547,train
67744,train
382536,train
14067,train
198263,train
101572,train
14321,train
397673,train
14951,train
75064,train
137576,train
418632,train
129454,train
22710,train
251034,train
109635,train
382547,train
50307,train
374116,train
379748,train
57995,train
66619,train
154307,train
28563,train
26464,train
36069,train
138202,train
53882,train
424128,train
44359,train
222923,train
341736,train
27064,train
237202,train
71081,train
142817,train
108149,train
96607,train
276308,train
8060,train
145575,train
160004,train
104843,train
201159,train
93452,train
1830,train
331143,train
86441,train
122065,train
358471,train
373876,train
355291,train
58665,train
59617,train
199203,train
29420,train
174860,train
150409,train
160911,train
386380,train
247992,train
155637,train
109598,train
423119,train
19059,train
352715,train
158649,train
244339,train
328813,train
352331,train
24589,train
379260,train
21440,train
41981,train
80,train
163018,train
408447,train
53296,train
97527,train
338258,train
333765,train
93850,train
28587,train
248422,train
361186,train
15224,train
409192,train
92846,train
154237,train
329963,train
22871,train
59509,train
400697,train
336514,train
28106,train
4269,train
386126,train
26688,train
176282,train
