index,split
67644,train
75056,train
359700,train
374504,train
188226,train
38271,train
172245,train
374737,train
359121,train
125372,train
413382,train
325215,train
142663,train
152606,train
157474,train
208741,train
368376,train
28621,train
102849,train
409093,train
343935,train
142860,train
162224,train
128705,train
63521,train
148355,train
204126,train
29119,train
150268,train
222390,train
260933,train
189337,train
127725,train
388286,train
149326,train
76982,train
174776,train
58650,train
151445,train
383551,train
355115,train
183735,train
372708,train
71754,train
212787,train
26559,train
148551,train
109544,train
360786,train
26602,train
413209,train
247575,train
123889,train
50267,train
98019,train
236528,train
153876,train
50912,train
337236,train
148435,train
120359,train
49898,train
199873,train
113270,train
18966,train
355211,train
413462,train
1028,train
156365,train
107725,train
106428,train
236660,train
81246,train
231462,train
222597,train
374978,train
273341,train
233715,train
257496,train
142688,train
92135,train
154100,train
50171,train
34896,train
3817,train
68666,train
41134,train
328868,train
63507,train
355910,train
61738,train
5793,train
395410,train
102378,train
136966,train
211676,train
418905,train
274980,train
210652,train
414616,train
142848,train
11952,train
356891,train
22518,train
153726,train
187147,train
88928,train
372686,train
3112,train
187002,train
247553,train
217736,train
50917,train
153503,train
80672,train
186475,train
372631,train
447425,train
345133,train
236679,train
112662,train
86449,train
410145,train
200551,train
373361,train
371619,train
28614,train
340547,train
28856,train
125071,train
325657,train
135537,train
115417,train
3418,train
62516,train
50306,train
50511,train
263076,train
89385,train
386303,train
81992,train
137910,train
359334,train
10925,train
235418,train
153725,train
65604,train
216811,train
85804,train
324894,train
154041,train
270769,train
236641,train
71608,train
137444,train
74380,train
418458,train
402801,train
259170,train
352740,train
213375,train
89675,train
200900,train
191920,train
52179,train
154021,train
158746,train
163018,train
146554,train
126535,train
160276,train
81574,train
233068,train
254621,train
196064,train
408708,train
92822,train
86465,train
142703,train
160533,train
95799,train
111033,train
56938,train
68718,train
107717,train
92944,train
250378,train
269906,train
427375,train
231490,train
276308,train
79598,train
5108,train
190468,train
270130,train
58160,train
398038,train
20539,train
373638,train
171707,train
375541,train
105578,train
91073,train
142305,train
320456,train
168769,train
148748,train
183040,train
57197,train
242963,train
177229,train
371972,train
4227,train
148553,train
171464,train
415395,train
410868,train
91605,train
430046,train
58051,train
29438,train
382537,train
166345,train
400597,train
42904,train
104815,train
354393,train
187809,train
27232,train
93453,train
382950,train
354258,train
365207,train
162733,train
52191,train
30353,train
92260,train
220601,train
347314,train
146464,train
108358,train
321741,train
237791,train
118898,train
247117,train
116921,train
173746,train
374099,train
315940,train
120133,train
53604,train
89124,train
236636,train
266496,train
369707,train
346869,train
5100,train
266481,train
59458,train
29893,train
327677,train
19159,train
65802,train
173618,train
153846,train
2705,train
264152,train
70028,train
148540,train
2520,train
70827,train
373711,train
79051,train
93879,train
144224,train
158772,train
32863,train
260246,train
353187,train
137661,train
176282,train
9659,train
376926,train
387162,train
374393,train
28396,train
131991,train
105964,train
418011,train
20695,train
105436,train
17860,train
28565,train
323459,train
212108,train
150985,train
97371,train
119201,train
147599,train
79236,train
161359,train
145274,train
89959,train
10553,train
106883,train
105767,train
50172,train
79045,train
38297,train
3808,train
142677,train
106991,train
195544,train
92846,train
136540,train
371815,train
209772,train
353039,train
238873,train
60782,train
34067,train
302530,train
359449,train
111086,train
323702,train
483494,train
4854,train
127276,train
161340,train
67647,train
33909,train
71114,train
331379,train
122299,train
247075,train
15222,train
164875,train
391293,train
209,train
36321,train
196004,train
4279,train
148488,train
31942,train
102952,train
345261,train
96096,train
375068,train
333421,train
39863,train
151384,train
270695,train
351324,train
251130,train
162950,train
76293,train
35836,train
14056,train
50180,train
82267,train
173637,train
61516,train
382906,train
61058,train
55969,train
360229,train
31529,train
408763,train
153649,train
29407,train
166182,train
270133,train
136048,train
10525,train
247069,train
200631,train
240096,train
247899,train
25824,train
38186,train
25355,train
61719,train
128833,train
34277,train
96347,train
399740,train
164878,train
8434,train
269783,train
64876,train
34383,train
477305,train
201025,train
388056,train
253250,train
40073,train
126759,train
66147,train
114419,train
477304,train
98231,train
149807,train
184217,train
163007,train
209661,train
126334,train
246762,train
102407,train
28582,train
274997,train
38318,train
72826,train
111161,train
324645,train
28165,train
133659,train
358391,train
47679,train
40988,train
127590,train
105626,train
178022,train
108870,train
26567,train
33927,train
74794,train
69947,train
270470,train
46962,train
101409,train
63467,train
67650,train
382855,train
90441,train
16625,train
199757,train
65934,train
393911,train
72291,train
76531,train
358025,train
325858,train
65436,train
359724,train
23073,train
127440,train
373834,train
255812,train
393461,train
335971,train
246958,train
373612,train
344664,train
97228,train
89963,train
159401,train
251161,train
203492,train
23667,train
268126,train
372684,train
10130,train
11505,train
51632,train
43436,train
387467,train
146616,train
24810,train
431190,train
382525,train
68330,train
321768,train
374505,train
28627,train
81321,train
90258,train
137535,train
148512,train
393359,train
35932,train
87406,train
29096,train
236457,train
39992,train
28602,train
180297,train
234950,train
137945,train
377386,train
68720,train
5302,train
85135,train
327432,train
80317,train
373261,train
112213,train
269584,train
118723,train
354902,train
48719,train
354192,train
236579,train
13872,train
414260,train
105478,train
374050,train
111020,train
244968,train
153136,train
196065,train
28981,train
378683,train
84387,train
151045,train
199731,train
343098,train
89113,train
95035,train
20466,train
66155,train
130514,train
95383,train
316010,train
355162,train
91077,train
164392,train
48189,train
251172,train
400113,train
372783,train
48983,train
357903,train
12760,train
121567,train
56875,train
148150,train
365799,train
406632,train
26537,train
93878,train
371153,train
326175,train
60638,train
143293,train
372423,train
362197,train
40098,train
262974,train
193761,train
249008,train
339935,train
428299,train
96346,train
445125,train
362196,train
246924,train
274058,train
216814,train
30282,train
386592,train
33692,train
102106,train
8157,train
136947,train
84074,train
382524,train
236544,train
15352,train
68705,train
71631,train
419005,train
87939,train
61531,train
207129,train
75707,train
146942,train
73103,train
402021,train
81335,train
177882,train
104428,train
477072,train
369238,train
153039,train
333247,train
85704,train
105026,train
15555,train
165225,train
13463,train
348889,train
476803,train
125063,train
257609,train
177240,train
373973,train
66432,train
13037,train
169157,train
142854,train
371913,train
199149,train
184416,train
27064,train
57770,train
198256,train
37178,train
357471,train
64743,train
45112,train
142697,train
189360,train
93370,train
94402,train
358213,train
354421,train
74926,train
127307,train
236455,train
29214,train
327116,train
80683,train
324103,train
385854,train
54901,train
106885,train
377573,train
368566,train
87289,train
81325,train
109618,train
41664,train
20192,train
183181,train
228752,train
357663,train
82386,train
41083,train
163695,train
216810,train
256488,train
332317,train
360599,train
188145,train
11653,train
72240,train
3805,train
57488,train
173775,train
89326,train
192269,train
247975,train
1076,train
273994,train
29302,train
387760,train
138200,train
60807,train
387774,train
102397,train
116367,train
150113,train
148565,train
247931,train
215674,train
60775,train
76726,train
5265,train
379757,train
41515,train
72577,train
167550,train
37209,train
333861,train
24242,train
372046,train
92186,train
274853,train
176132,train
354929,train
13908,train
148244,train
246946,train
102244,train
4053,train
88914,train
28593,train
34889,train
386610,train
413684,train
208314,train
324783,train
367052,train
232257,train
86452,train
197223,train
20188,train
200210,train
67341,train
415423,train
38110,train
14326,train
193784,train
47285,train
373820,train
196061,train
86423,train
141689,train
148562,train
115236,train
86705,train
43187,train
412806,train
82322,train
432875,train
70270,train
44,train
241492,train
374169,train
114429,train
177811,train
62148,train
326384,train
108880,train
47371,train
154307,train
247747,train
41862,train
121206,train
337170,train
187762,train
40402,train
72341,train
148496,train
92948,train
416425,train
395492,train
76567,train
395301,train
142711,train
341200,train
10897,train
35074,train
92345,train
93710,train
337090,train
319347,train
92968,train
80558,train
50424,train
72678,train
153646,train
48313,train
248713,train
57410,train
374538,train
16204,train
171647,train
180295,train
214006,train
42348,train
182992,train
146623,train
28591,train
55731,train
72846,train
405662,train
151738,train
164828,train
102495,train
57388,train
58268,train
153657,train
56552,train
74679,train
188825,train
181634,train
8863,train
410642,train
324546,train
337225,train
137907,train
41981,train
15845,train
146257,train
474941,train
395631,train
187662,train
146217,train
15749,train
358260,train
414469,train
136279,train
374509,train
125344,train
21368,train
396157,train
27991,train
60785,train
86388,train
107736,train
69422,train
57490,train
105277,train
316646,train
11932,train
94104,train
374907,train
360694,train
69159,train
30880,train
14946,train
146553,train
352638,train
363061,train
390706,train
45915,train
107274,train
188756,train
107053,train
68740,train
28599,train
54328,train
80079,train
84063,train
61776,train
366595,train
420266,train
144342,train
373990,train
164174,train
302492,train
182569,train
142817,train
236511,train
275367,train
50373,train
50314,train
29321,train
132860,train
355961,train
71865,train
355912,train
21066,train
28859,train
155223,train
382222,train
246987,train
178605,train
183718,train
372687,train
261194,train
22018,train
233810,train
143251,train
168059,train
119317,train
20021,train
247882,train
37799,train
16844,train
121085,train
41964,train
64965,train
86436,train
119450,train
352194,train
151591,train
193842,train
41744,train
64781,train
10503,train
144743,train
45464,train
359737,train
29191,train
50391,train
354948,train
68688,train
50788,train
248407,train
30031,train
231991,train
220311,train
153951,train
25610,train
220605,train
20786,train
156809,train
235126,train
91762,train
6028,train
28106,train
352386,train
148440,train
178434,train
349240,train
373691,train
119668,train
45477,train
167167,train
153602,train
104714,train
444012,train
354999,train
156734,train
72839,train
132905,train
15566,train
3165,train
168899,train
156774,train
100029,train
271416,train
265180,train
87051,train
252548,train
355221,train
39081,train
11546,train
24184,train
15928,train
40900,train
86425,train
256414,train
92364,train
3452,train
96980,train
219257,train
422873,train
241483,train
20457,train
119344,train
124700,train
121604,train
325255,train
13713,train
166322,train
109122,train
126543,train
28631,train
84031,train
372734,train
181757,train
48154,train
60640,train
199297,train
29388,train
168028,train
236402,train
477025,train
93406,train
120597,train
42199,train
135698,train
326959,train
357333,train
211540,train
127639,train
151744,train
358240,train
107130,train
242231,train
266747,train
318555,train
147921,train
192002,train
214697,train
34667,train
147905,train
418751,train
358656,train
116366,train
176037,train
9823,train
374877,train
11889,train
318647,train
92405,train
389987,train
239830,train
343934,train
321290,train
48978,train
375548,train
95531,train
127625,train
405139,train
170466,train
84090,train
81855,train
359799,train
369285,train
420322,train
127563,train
107728,train
142799,train
189493,train
28358,train
157018,train
84028,train
28568,train
126042,train
86675,train
355147,train
25333,train
373636,train
386492,train
70383,train
105685,train
331143,train
347816,train
244332,train
26514,train
364484,train
22181,train
29419,train
14029,train
267954,train
247492,train
142578,train
402937,train
252351,train
16799,train
261193,train
105362,train
82933,train
169933,train
316016,train
180749,train
358288,train
261413,train
408562,train
477507,train
91438,train
169944,train
28756,train
102097,train
59612,train
183055,train
333271,train
28933,train
116793,train
64958,train
343947,train
22099,train
158435,train
73454,train
3814,train
136953,train
95387,train
358306,train
80641,train
42725,train
2530,train
26285,train
76650,train
394185,train
63695,train
69690,train
387763,train
116617,train
142652,train
50200,train
326335,train
148536,train
64471,train
328049,train
77280,train
68408,train
148241,train
183809,train
41750,train
376031,train
356918,train
359328,train
360034,train
386203,train
152566,train
10785,train
40448,train
24126,train
31973,train
244012,train
99243,train
73716,train
426596,train
238870,train
242861,train
36399,train
29288,train
182524,train
113129,train
70374,train
173601,train
28821,train
62849,train
95389,train
29278,train
73099,train
138937,train
354592,train
484620,train
373672,train
148247,train
372701,train
389,train
385031,train
183597,train
337126,train
276826,train
32169,train
355305,train
236617,train
477251,train
354186,train
81909,train
40431,train
320748,train
150345,train
391494,train
26464,train
344559,train
34595,train
196076,train
35703,train
124922,train
177252,train
401987,train
485473,train
246782,train
51552,train
106449,train
46684,train
337964,train
253463,train
195579,train
187266,train
104498,train
397317,train
50191,train
178067,train
36503,train
48478,train
408642,train
184470,train
188691,train
102864,train
119395,train
340557,train
64544,train
199150,train
10594,train
94759,train
102095,train
38665,train
55093,train
368431,train
40898,train
11949,train
491279,train
127366,train
117803,train
114157,train
359788,train
188065,train
183062,train
98941,train
119385,train
18474,train
340711,train
71190,train
136302,train
153641,train
236449,train
27256,train
26561,train
15541,train
93876,train
400586,train
97378,train
92890,train
374010,train
68150,train
16598,train
38884,train
341432,train
171596,train
18273,train
81922,train
84564,train
84000,train
137582,train
356444,train
30027,train
220594,train
381358,train
111015,train
54123,train
134055,train
383557,train
239756,train
234090,train
402649,train
156185,train
144069,train
172440,train
49855,train
257349,train
29160,train
386279,train
20929,train
354512,train
29335,train
102403,train
12982,train
12976,train
102380,train
255659,train
80788,train
359699,train
152997,train
169805,train
254391,train
29713,train
381506,train
53944,train
41979,train
203111,train
40899,train
11646,train
83129,train
50508,train
93299,train
117127,train
407932,train
29530,train
127635,train
132811,train
173939,train
39328,train
28587,train
58656,train
32311,train
418587,train
247166,train
41691,train
137602,train
92221,train
106437,train
233501,train
54523,train
371602,train
21621,train
172364,train
157596,train
387766,train
96091,train
14321,train
155222,train
236489,train
357740,train
128834,train
86445,train
366455,train
111171,train
354643,train
105904,train
257430,train
42342,train
32017,train
410237,train
28735,train
372707,train
45950,train
199173,train
3913,train
102533,train
130753,train
80638,train
77742,train
336592,train
23923,train
219488,train
382534,train
354035,train
185733,train
150363,train
146945,train
247517,train
236663,train
334683,train
142905,train
148437,train
140660,train
41725,train
9056,train
50503,train
58928,train
373982,train
371971,train
357164,train
109745,train
95956,train
47847,train
332498,train
69006,train
59444,train
72879,train
325155,train
30280,train
77527,train
120829,train
54113,train
420313,train
28601,train
148579,train
105659,train
269557,train
37943,train
373569,train
247060,train
335347,train
233617,train
373613,train
380100,train
404368,train
32864,train
145082,train
5187,train
148561,train
20640,train
148531,train
18807,train
74383,train
189359,train
13594,train
20455,train
268593,train
86441,train
175417,train
127248,train
39983,train
26906,train
406067,train
157311,train
93889,train
23025,train
92935,train
246327,train
413620,train
118899,train
246881,train
11586,train
326978,train
28851,train
75949,train
243800,train
370941,train
190028,train
160379,train
351173,train
236419,train
235119,train
372392,train
136304,train
353923,train
100904,train
38329,train
8380,train
168157,train
181071,train
334991,train
174924,train
86414,train
251633,train
69870,train
3909,train
50810,train
272387,train
383547,train
386593,train
248480,train
26275,train
86478,train
27872,train
357443,train
23965,train
221832,train
418570,train
28572,train
267918,train
109562,train
81652,train
81382,train
316598,train
372650,train
79771,train
28605,train
93880,train
72465,train
160376,train
372739,train
416380,train
185561,train
15922,train
86934,train
139301,train
373876,train
236654,train
220596,train
41602,train
69503,train
186049,train
197947,train
131644,train
334540,train
101412,train
107223,train
251860,train
148530,train
67744,train
168875,train
29619,train
99227,train
74820,train
100007,train
89895,train
39162,train
5581,train
1053,train
91135,train
256417,train
164179,train
29186,train
169810,train
59890,train
234034,train
10497,train
373915,train
336769,train
132579,train
114100,train
254617,train
428753,train
96545,train
358003,train
368365,train
241574,train
164592,train
41076,train
428784,train
99977,train
112289,train
386254,train
142479,train
143868,train
196010,train
148538,train
143467,train
117940,train
89320,train
157328,train
142530,train
148598,train
158782,train
26937,train
429422,train
46722,train
95281,train
327035,train
26657,train
172923,train
38423,train
407723,train
181188,train
2994,train
132802,train
154059,train
241571,train
247813,train
102091,train
82177,train
331907,train
68440,train
148252,train
40085,train
169229,train
11629,train
236626,train
18218,train
241830,train
130406,train
121023,train
168515,train
358158,train
22127,train
42195,train
170584,train
39531,train
353473,train
174368,train
188367,train
415430,train
136952,train
109244,train
144260,train
47668,train
246674,train
247913,train
248009,train
115505,train
57446,train
458036,train
137583,train
68395,train
477087,train
83131,train
2611,train
316595,train
105433,train
236562,train
92956,train
50123,train
50946,train
104189,train
62457,train
347322,train
416241,train
83620,train
153632,train
360174,train
3329,train
26946,train
75628,train
119680,train
27558,train
16200,train
185150,train
221532,train
29251,train
6388,train
5504,train
329734,train
64716,train
146771,train
24160,train
390939,train
32613,train
222878,train
354688,train
142099,train
5193,train
104528,train
58406,train
168123,train
374706,train
188465,train
118379,train
146254,train
329116,train
90438,train
79265,train
156501,train
84563,train
126762,train
236598,train
341507,train
393460,train
212610,train
270762,train
29420,train
143703,train
38181,train
399577,train
403574,train
236443,train
402953,train
170623,train
39327,train
421723,train
37347,train
226407,train
127303,train
135835,train
57509,train
107608,train
302511,train
410427,train
159294,train
491167,train
234092,train
373880,train
347033,train
56025,train
389640,train
36764,train
194578,train
333862,train
104212,train
63220,train
250526,train
63585,train
37284,train
6023,train
4244,train
425230,train
204641,train
184636,train
137917,train
28577,train
36069,train
28586,train
368084,train
252322,train
11776,train
10504,train
219772,train
48995,train
128830,train
86396,train
61734,train
22778,train
238567,train
236429,train
101731,train
46686,train
18755,train
154299,train
156795,train
168725,train
23558,train
70320,train
416364,train
236352,train
86439,train
41102,train
232723,train
10899,train
51475,train
477028,train
61985,train
148499,train
152904,train
164057,train
356651,train
44704,train
16174,train
29330,train
423748,train
48565,train
267937,train
121203,train
340361,train
26213,train
97635,train
369358,train
360239,train
94243,train
191898,train
155262,train
207406,train
248117,train
10592,train
30627,train
360256,train
47142,train
105591,train
359706,train
123990,train
354503,train
359435,train
91981,train
415460,train
374805,train
119113,train
316602,train
32151,train
30039,train
341070,train
377589,train
433545,train
72288,train
252346,train
218055,train
34373,train
1389,train
236531,train
189743,train
344992,train
276113,train
121295,train
111357,train
61771,train
77026,train
180949,train
276563,train
178219,train
421025,train
13252,train
387785,train
333411,train
121457,train
126567,train
68448,train
345263,train
173907,train
253246,train
163311,train
278107,train
54388,train
188940,train
111779,train
247121,train
356490,train
153143,train
29916,train
318828,train
96769,train
74200,train
44530,train
125149,train
195990,train
61730,train
347724,train
44365,train
256579,train
60795,train
156700,train
86435,train
350334,train
60837,train
90263,train
41678,train
477036,train
69478,train
340594,train
721,train
104707,train
149942,train
325928,train
175664,train
324338,train
260388,train
97032,train
150271,train
58323,train
302524,train
26942,train
189416,train
358077,train
415426,train
141184,train
417452,train
484628,train
166950,train
275788,train
92949,train
58625,train
43176,train
106789,train
114358,train
82810,train
54206,train
148558,train
52307,train
235724,train
