class,top_class,support,precision,recall,f1,top_acc,errors,top_confusions
sp-c,sp,177,0.43548387096774194,0.4576271186440678,0.4462809917355372,0.5254237288135594,96,"ss-u(41), fx-h(22), ss-i(17)"
ss-i,ss,207,0.5217391304347826,0.4057971014492754,0.45652173913043476,0.6811594202898551,123,"ss-u(56), sp-c(23), sp-p(12)"
fx-ex,fx,297,0.55893536121673,0.494949494949495,0.525,0.7138047138047138,150,"fx-h(34), m-si(23), sp-p(18)"
m-m,m,323,0.6310679611650486,0.6037151702786377,0.6170886075949367,0.9442724458204335,128,"m-si(58), m-sp(52), ss-u(9)"
fx-v,fx,201,0.6150234741784038,0.6517412935323383,0.6328502415458938,0.7810945273631841,70,"ss-u(40), fx-m(13), fx-o(8)"
fx-a,fx,166,0.6688741721854304,0.608433734939759,0.6372239747634069,0.6626506024096386,65,"ss-n(45), ss-u(8), fx-h(6)"
ss-u,ss,719,0.6774193548387096,0.6425591098748261,0.6595289079229121,0.7566063977746871,257,"ss-i(44), sp-c(43), ss-n(37)"
ss-n,ss,391,0.7142857142857143,0.6777493606138107,0.6955380577427821,0.7186700767263428,126,"fx-n(70), fx-a(34), ss-u(15)"
fx-el,fx,208,0.7291666666666666,0.6730769230769231,0.7,0.8557692307692307,68,"fx-ex(18), fx-o(10), m-si(7)"
is-e,is,297,0.7197231833910035,0.7003367003367004,0.7098976109215018,0.8720538720538721,89,"is-p(25), is-k(16), fx-el(13)"
fx-m,fx,279,0.7231833910034602,0.7491039426523297,0.7359154929577465,0.982078853046595,70,"fx-o(38), fx-v(18), fx-n(4)"
sp-p,sp,364,0.7493188010899182,0.7554945054945055,0.7523939808481532,0.8653846153846154,89,"sp-s(34), fx-ex(21), ss-u(13)"
m-si,m,721,0.7619647355163728,0.8391123439667129,0.7986798679867987,0.9209431345353676,116,"m-m(36), m-sp(23), fx-ex(16)"
ss-s,ss,217,0.8535353535353535,0.7788018433179723,0.8144578313253011,0.8018433179723502,48,"is-e(12), fx-ex(12), m-si(10)"
m-sp,m,683,0.8316251830161054,0.8316251830161054,0.8316251830161056,0.9502196193265008,115,"m-m(47), m-si(34), is-p(12)"
fx-n,fx,652,0.7889182058047494,0.9171779141104295,0.8482269503546099,0.9585889570552147,54,"ss-n(19), fx-o(17), ss-u(7)"
is-p,is,606,0.882051282051282,0.8514851485148515,0.8664987405541562,0.9026402640264026,90,"fx-o(24), is-e(23), m-sp(17)"
fx-o,fx,1211,0.8762458471760798,0.8711808422791082,0.8737060041407867,0.9710982658959537,156,"fx-m(50), fx-n(37), fx-h(16)"
fx-h,fx,975,0.8713858424725822,0.8964102564102564,0.8837209302325582,0.9435897435897436,101,"fx-ex(23), sp-c(18), sp-s(14)"
sp-s,sp,806,0.9090909090909091,0.9057071960297767,0.9073958980733374,0.9689826302729528,76,"sp-p(39), fx-h(15), sp-c(12)"
is-k,is,362,0.9124668435013262,0.9502762430939227,0.9309878213802436,0.9806629834254144,18,"is-e(7), m-si(7), is-p(2)"
is-s,is,528,0.9535783365570599,0.9337121212121212,0.9435406698564593,0.9526515151515151,35,"m-si(21), is-e(8), fx-ex(3)"
is-w,is,566,0.9679144385026738,0.9593639575971732,0.9636202307009761,0.9823321554770318,23,"m-si(9), is-p(4), is-s(3)"
