index,split
358405,train
432206,train
80630,train
38633,train
354592,train
63352,train
376477,train
76567,train
119764,train
35034,train
76539,train
318557,train
24840,train
119676,train
153941,train
386297,train
70306,train
55511,train
33563,train
55996,train
368566,train
434970,train
341419,train
59013,train
353550,train
362908,train
380164,train
15171,train
5163,train
191991,train
153632,train
50191,train
24649,train
107519,train
23926,train
87778,train
392839,train
142692,train
120989,train
147958,train
276308,train
353039,train
86437,train
156727,train
344396,train
173110,train
419197,train
88870,train
51374,train
27233,train
232624,train
358952,train
114090,train
137462,train
241528,train
45610,train
386219,train
121346,train
360802,train
10834,train
232274,train
196065,train
153977,train
55273,train
244054,train
75628,train
166433,train
57023,train
164561,train
423119,train
9235,train
378695,train
101460,train
36554,train
102007,train
126759,train
374877,train
122065,train
146197,train
173946,train
71754,train
417846,train
273710,train
151544,train
211549,train
236500,train
407012,train
1076,train
62118,train
343955,train
347315,train
74514,train
223720,train
369932,train
354483,train
316911,train
337170,train
61637,train
38623,train
102407,train
423473,train
57587,train
82540,train
167264,train
51027,train
42343,train
477659,train
22889,train
358656,train
186660,train
32168,train
20761,train
126851,train
209413,train
265290,train
378367,train
236509,train
97311,train
246946,train
269904,train
168774,train
247913,train
10592,train
156723,train
94243,train
152172,train
56697,train
249460,train
12834,train
3046,train
83782,train
139301,train
464388,train
34329,train
61516,train
109566,train
83593,train
415391,train
173891,train
128841,train
180749,train
76461,train
356450,train
30856,train
3090,train
129159,train
30023,train
270469,train
164925,train
3909,train
142817,train
349847,train
240674,train
137412,train
249464,train
117236,train
117663,train
151281,train
86769,train
81855,train
142663,train
30324,train
148350,train
333862,train
158628,train
176245,train
133097,train
234589,train
220539,train
58654,train
127362,train
183735,train
26,train
81101,train
32552,train
110689,train
156185,train
63796,train
2734,train
413462,train
12866,train
390721,train
236456,train
95842,train
416732,train
154307,train
58026,train
157643,train
372703,train
41709,train
23923,train
5998,train
3800,train
5105,train
171737,train
50267,train
124921,train
41600,train
374737,train
374527,train
360117,train
129454,train
29160,train
89862,train
165385,train
97223,train
339927,train
63709,train
192178,train
127635,train
155226,train
101602,train
74364,train
59039,train
151744,train
64959,train
339369,train
133105,train
48161,train
11191,train
76294,train
50443,train
168588,train
107356,train
219401,train
23019,train
101247,train
74679,train
480715,train
83434,train
214617,train
240008,train
347562,train
5823,train
61721,train
25610,train
121206,train
4770,train
144982,train
75643,train
195579,train
408708,train
260802,train
374057,train
41000,train
18486,train
263531,train
186489,train
379754,train
196061,train
48983,train
55246,train
78718,train
57509,train
146867,train
277547,train
23563,train
255856,train
182569,train
71046,train
328868,train
241925,train
13852,train
92932,train
23475,train
55990,train
47679,train
209044,train
26500,train
234996,train
187595,train
99977,train
228752,train
63733,train
148941,train
40807,train
41691,train
16844,train
34140,train
13479,train
21057,train
61560,train
372423,train
58160,train
50123,train
12927,train
14321,train
372708,train
151994,train
46,train
491167,train
393792,train
354037,train
177257,train
173605,train
38639,train
61747,train
87963,train
40902,train
3467,train
247813,train
187093,train
146554,train
358637,train
101412,train
53691,train
114158,train
157735,train
128834,train
72152,train
236571,train
200381,train
412191,train
132047,train
236457,train
16436,train
175465,train
155234,train
29191,train
48456,train
104720,train
181928,train
417430,train
155279,train
15363,train
354220,train
132802,train
155123,train
2705,train
118748,train
137837,train
413619,train
155222,train
34134,train
109883,train
69132,train
29363,train
421723,train
121943,train
63220,train
140638,train
416380,train
189822,train
276119,train
48157,train
169620,train
240230,train
78747,train
3913,train
56926,train
47067,train
62681,train
490230,train
364343,train
372679,train
120667,train
150854,train
81349,train
85272,train
116229,train
86262,train
79145,train
101621,train
2733,train
368276,train
212610,train
143868,train
89893,train
241477,train
18716,train
233410,train
67861,train
108042,train
158601,train
360794,train
37209,train
78611,train
21412,train
86720,train
360239,train
396074,train
162257,train
153166,train
107740,train
27062,train
2890,train
195282,train
41076,train
64876,train
354190,train
55438,train
15254,train
104189,train
264611,train
277595,train
325017,train
152074,train
80641,train
1135,train
15961,train
108772,train
123688,train
189416,train
17133,train
148547,train
53798,train
71699,train
64777,train
66618,train
156785,train
409093,train
41725,train
174776,train
190101,train
372683,train
463592,train
371978,train
156715,train
107725,train
109122,train
78523,train
171442,train
233068,train
105438,train
361089,train
275791,train
71812,train
335347,train
43542,train
348385,train
102934,train
98449,train
80717,train
46237,train
90438,train
117946,train
212108,train
177811,train
200960,train
20694,train
50912,train
377844,train
85958,train
125272,train
235167,train
242688,train
73282,train
427134,train
38329,train
142216,train
114098,train
142905,train
459706,train
10661,train
60777,train
105945,train
199070,train
32311,train
56019,train
127113,train
78867,train
14009,train
101315,train
385031,train
371997,train
415397,train
343680,train
340910,train
247893,train
92970,train
11066,train
40389,train
146675,train
97527,train
188707,train
232618,train
161427,train
72288,train
354985,train
73188,train
162565,train
366177,train
79045,train
154315,train
76169,train
382906,train
164118,train
40831,train
5702,train
150163,train
218889,train
26539,train
372783,train
25232,train
52867,train
86420,train
50114,train
123399,train
5804,train
172364,train
369358,train
30199,train
10697,train
179315,train
161267,train
401605,train
77291,train
386203,train
41862,train
51703,train
265311,train
151711,train
42352,train
89335,train
136878,train
147925,train
93453,train
153620,train
128673,train
92392,train
10729,train
246958,train
77742,train
343969,train
153657,train
351173,train
222324,train
119658,train
10971,train
64743,train
214697,train
13050,train
248176,train
59303,train
387957,train
133230,train
223280,train
161686,train
214623,train
382220,train
67199,train
268128,train
277103,train
104634,train
56294,train
334588,train
115504,train
357175,train
415371,train
27927,train
115221,train
37178,train
180542,train
161235,train
40846,train
84574,train
35140,train
157280,train
127446,train
356790,train
87130,train
86434,train
391842,train
156602,train
239671,train
59450,train
16430,train
73108,train
320394,train
48322,train
65339,train
154097,train
188629,train
222222,train
84867,train
159543,train
24365,train
119385,train
130733,train
394909,train
58063,train
358392,train
164367,train
111032,train
95814,train
124720,train
177804,train
146217,train
40049,train
30041,train
120970,train
31940,train
264376,train
395296,train
95818,train
96458,train
78840,train
246113,train
349403,train
13008,train
29157,train
168671,train
32582,train
358276,train
183635,train
152689,train
24984,train
325696,train
89113,train
3004,train
50775,train
194872,train
423009,train
20695,train
379058,train
397673,train
5187,train
66785,train
341189,train
151611,train
10981,train
25704,train
365207,train
59890,train
166919,train
83494,train
189376,train
57598,train
39,train
22717,train
69159,train
388476,train
210602,train
232499,train
358391,train
127644,train
15903,train
53474,train
15929,train
113263,train
154029,train
168305,train
382885,train
214609,train
254384,train
13594,train
241546,train
86729,train
3949,train
108769,train
222356,train
383948,train
26588,train
39388,train
6987,train
96091,train
32169,train
30143,train
120384,train
143803,train
9364,train
91237,train
218877,train
38628,train
90351,train
195862,train
60802,train
90259,train
19749,train
200551,train
29130,train
15395,train
121301,train
183636,train
17146,train
89124,train
3329,train
270470,train
57496,train
153939,train
151861,train
365241,train
237730,train
56292,train
236508,train
15474,train
61893,train
128996,train
127251,train
103562,train
166050,train
214989,train
69760,train
137463,train
132340,train
21560,train
417826,train
373875,train
171349,train
156716,train
432400,train
111650,train
40455,train
111038,train
4270,train
25607,train
76143,train
399464,train
236545,train
11958,train
119844,train
29335,train
261585,train
46729,train
174024,train
69368,train
145486,train
477115,train
6272,train
61787,train
388423,train
274153,train
105481,train
174105,train
407945,train
2438,train
154059,train
60782,train
316686,train
41744,train
146835,train
41979,train
44051,train
372663,train
236617,train
302493,train
176251,train
253598,train
22887,train
355000,train
243944,train
251633,train
345423,train
38983,train
58124,train
316443,train
96825,train
180920,train
24243,train
21245,train
324338,train
38465,train
422146,train
358066,train
341509,train
366034,train
94033,train
70955,train
214622,train
161678,train
123900,train
386303,train
166216,train
189420,train
353953,train
412556,train
163695,train
69084,train
111124,train
149877,train
24507,train
146257,train
115560,train
96090,train
174860,train
72143,train
63063,train
73257,train
349263,train
4285,train
49898,train
6849,train
152802,train
120124,train
146569,train
46153,train
28826,train
142622,train
336514,train
324057,train
100253,train
18756,train
80317,train
127162,train
44124,train
263036,train
39495,train
65576,train
36129,train
65604,train
50130,train
162854,train
24808,train
13323,train
25227,train
23567,train
58272,train
40908,train
137940,train
142813,train
237682,train
254570,train
166171,train
108889,train
260246,train
78854,train
339656,train
148536,train
49315,train
79454,train
127360,train
30942,train
358163,train
12784,train
207481,train
32548,train
10549,train
50172,train
92934,train
348324,train
239508,train
138902,train
5146,train
96077,train
402461,train
82698,train
247395,train
347314,train
3896,train
219110,train
98439,train
15248,train
354694,train
239756,train
60801,train
381192,train
414225,train
58237,train
246732,train
274058,train
44969,train
415473,train
85620,train
136048,train
28721,train
184739,train
15230,train
40426,train
1830,train
237063,train
68722,train
274890,train
404368,train
177809,train
213691,train
40058,train
330564,train
120666,train
155285,train
253463,train
100632,train
22779,train
425662,train
63719,train
153876,train
241484,train
118379,train
57458,train
153376,train
92890,train
94252,train
147100,train
323419,train
213890,train
68132,train
153143,train
246102,train
386434,train
119352,train
48703,train
107734,train
333769,train
404841,train
39147,train
269584,train
251860,train
355221,train
92949,train
192149,train
76650,train
158782,train
58858,train
72302,train
28747,train
173746,train
24184,train
88408,train
323080,train
46684,train
116617,train
101676,train
324192,train
406067,train
119375,train
10785,train
67999,train
174030,train
416308,train
270130,train
11051,train
46962,train
369988,train
410274,train
41568,train
359788,train
64205,train
2723,train
20084,train
108358,train
41361,train
110265,train
410145,train
423748,train
3287,train
21866,train
222300,train
167064,train
374703,train
366455,train
32446,train
32865,train
116899,train
246363,train
332729,train
9573,train
127357,train
10094,train
316595,train
92942,train
5663,train
168157,train
196930,train
149763,train
199154,train
379757,train
131016,train
25609,train
62556,train
32151,train
347918,train
358213,train
68666,train
45477,train
36764,train
16121,train
153999,train
236487,train
34369,train
190526,train
373193,train
189490,train
191928,train
357950,train
47847,train
29364,train
50178,train
51265,train
146254,train
347322,train
219303,train
24510,train
114073,train
86082,train
168484,train
56875,train
86443,train
20786,train
182789,train
400586,train
31027,train
366676,train
45115,train
105958,train
344001,train
147685,train
259528,train
137648,train
344077,train
355231,train
12957,train
167194,train
96980,train
178022,train
84084,train
367099,train
184469,train
424111,train
76555,train
28570,train
67750,train
348392,train
128100,train
5153,train
160040,train
106352,train
63696,train
375493,train
388474,train
88914,train
78699,train
382888,train
14951,train
82716,train
165265,train
182965,train
179352,train
151800,train
208741,train
355220,train
72310,train
37943,train
223294,train
24833,train
391494,train
142880,train
196378,train
70069,train
50505,train
74820,train
170737,train
247374,train
131644,train
64279,train
10113,train
371090,train
408488,train
90435,train
257553,train
30624,train
374209,train
323725,train
200712,train
358380,train
41068,train
214404,train
63852,train
253772,train
382222,train
21440,train
200944,train
192261,train
118899,train
213565,train
38368,train
108443,train
154046,train
109570,train
86675,train
